720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.000 ,860.000 
720.860 ,860.833 
727.917 ,867.586 
741.286 ,878.421 
768.175 ,892.201 
800.087 ,902.108 
848.672 ,910.656 
899.545 ,913.414 
960.789 ,907.435 
1011.668 ,893.338 
1058.600 ,871.178 
1111.171 ,836.059 
1153.037 ,802.622 
1201.340 ,761.013 
1241.496 ,726.048 
1291.002 ,686.465 
1336.721 ,659.376 
1397.474 ,639.830 
1450.387 ,634.294 
1513.388 ,638.432 
1565.408 ,649.195 
1624.599 ,668.574 
1683.015 ,694.378 
1729.113 ,719.379 
1782.182 ,752.970 
1825.501 ,783.988 
1873.825 ,824.121 
1912.447 ,860.940 
1956.211 ,908.536 
1988.963 ,948.060 
2027.719 ,997.162 
2066.980 ,1046.769 
2102.983 ,1084.683 
2154.914 ,1119.770 
2203.946 ,1137.041 
2265.509 ,1142.827 
2325.897 ,1132.581 
2373.286 ,1112.241 
2422.413 ,1075.044 
2455.647 ,1035.616 
2485.007 ,982.052 
2503.043 ,924.179 
2510.057 ,873.586 
2508.728 ,813.589 
2494.875 ,755.954 
2471.176 ,712.243 
2432.631 ,667.400 
2386.209 ,631.163 
2342.856 ,605.434 
2289.992 ,578.389 
2235.960 ,552.809 
2190.245 ,531.767 
2135.871 ,506.991 
2081.740 ,482.423 
2035.690 ,461.549 
1981.507 ,437.000 
1935.775 ,416.284 
1881.451 ,391.677 
1827.020 ,367.022 
1780.619 ,346.004 
1725.713 ,321.873 
1678.325 ,306.035 
1619.928 ,297.080 
1559.659 ,298.372 
1510.671 ,305.720 
1454.073 ,325.095 
1414.324 ,355.484 
1381.794 ,406.665 
1365.338 ,465.962 
1359.239 ,517.685 
1356.150 ,579.835 
1354.873 ,633.711 
1353.959 ,695.766 
1353.353 ,748.667 
1352.680 ,811.099 
1350.775 ,863.421 
1345.395 ,926.145 
1340.481 ,972.909 
1338.364 ,992.762 
1338.236 ,993.960 
1338.236 ,993.960 
1338.236 ,993.960 
1338.236 ,993.960 
1338.236 ,993.960 
